City,Country,Postal Code,Region,State
Henderson,United States,42420.0,South,Kentucky
Los Angeles,United States,90036.0,West,California
Fort Lauderdale,United States,33311.0,South,Florida
Los Angeles,United States,90032.0,West,California
Concord,United States,28027.0,South,North Carolina
Seattle,United States,98103.0,West,Washington
Fort Worth,United States,76106.0,Central,Texas
Madison,United States,53711.0,Central,Wisconsin
West Jordan,United States,84084.0,West,Utah
San Francisco,United States,94109.0,West,California
Fremont,United States,68025.0,Central,Nebraska
Philadelphia,United States,19140.0,East,Pennsylvania
Orem,United States,84057.0,West,Utah
Los Angeles,United States,90049.0,West,California
Houston,United States,77095.0,Central,Texas
Richardson,United States,75080.0,Central,Texas
Houston,United States,77041.0,Central,Texas
Naperville,United States,60540.0,Central,Illinois
Melbourne,United States,32935.0,South,Florida
Eagan,United States,55122.0,Central,Minnesota
Westland,United States,48185.0,Central,Michigan
Dover,United States,19901.0,East,Delaware
New Albany,United States,47150.0,Central,Indiana
New York City,United States,10024.0,East,New York
Troy,United States,12180.0,East,New York
Los Angeles,United States,90004.0,West,California
Chicago,United States,60610.0,Central,Illinois
Gilbert,United States,85234.0,West,Arizona
Springfield,United States,22153.0,South,Virginia
New York City,United States,10009.0,East,New York
Jackson,United States,49201.0,Central,Michigan
Memphis,United States,38109.0,South,Tennessee
Houston,United States,77070.0,Central,Texas
Decatur,United States,35601.0,South,Alabama
San Francisco,United States,94122.0,West,California
Durham,United States,27707.0,South,North Carolina
Chicago,United States,60623.0,Central,Illinois
Columbia,United States,29203.0,South,South Carolina
Rochester,United States,55901.0,Central,Minnesota
Minneapolis,United States,55407.0,Central,Minnesota
Portland,United States,97206.0,West,Oregon
Saint Paul,United States,55106.0,Central,Minnesota
Aurora,United States,80013.0,West,Colorado
Charlotte,United States,28205.0,South,North Carolina
Orland Park,United States,60462.0,Central,Illinois
New York City,United States,10035.0,East,New York
Urbandale,United States,50322.0,Central,Iowa
Columbus,United States,43229.0,East,Ohio
Bristol,United States,37620.0,South,Tennessee
Wilmington,United States,19805.0,East,Delaware
Bloomington,United States,61701.0,Central,Illinois
Phoenix,United States,85023.0,West,Arizona
Roseville,United States,95661.0,West,California
Independence,United States,64055.0,Central,Missouri
Pasadena,United States,91104.0,West,California
Newark,United States,43055.0,East,Ohio
Franklin,United States,53132.0,Central,Wisconsin
Scottsdale,United States,85254.0,West,Arizona
San Jose,United States,95123.0,West,California
Seattle,United States,98105.0,West,Washington
Seattle,United States,98115.0,West,Washington
Edmond,United States,73034.0,Central,Oklahoma
Los Angeles,United States,90045.0,West,California
Philadelphia,United States,19134.0,East,Pennsylvania
Carlsbad,United States,88220.0,West,New Mexico
San Antonio,United States,78207.0,Central,Texas
Houston,United States,77036.0,Central,Texas
Decatur,United States,62521.0,Central,Illinois
Monroe,United States,71203.0,South,Louisiana
Fairfield,United States,6824.0,East,Connecticut
Grand Prairie,United States,75051.0,Central,Texas
Redlands,United States,92374.0,West,California
Hamilton,United States,45011.0,East,Ohio
Westfield,United States,7090.0,East,New Jersey
Philadelphia,United States,19120.0,East,Pennsylvania
Akron,United States,44312.0,East,Ohio
Denver,United States,80219.0,West,Colorado
Dallas,United States,75220.0,Central,Texas
Franklin,United States,37064.0,South,Tennessee
Whittier,United States,90604.0,West,California
Saginaw,United States,48601.0,Central,Michigan
Medina,United States,44256.0,East,Ohio
Dublin,United States,43017.0,East,Ohio
Detroit,United States,48227.0,Central,Michigan
Columbia,United States,38401.0,South,Tennessee
Tampa,United States,33614.0,South,Florida
Santa Clara,United States,95051.0,West,California
Lakeville,United States,55044.0,Central,Minnesota
San Diego,United States,92037.0,West,California
Pasadena,United States,77506.0,Central,Texas
Brentwood,United States,94513.0,West,California
Chapel Hill,United States,27514.0,South,North Carolina
Morristown,United States,7960.0,East,New Jersey
Cincinnati,United States,45231.0,East,Ohio
San Francisco,United States,94110.0,West,California
Inglewood,United States,90301.0,West,California
Tamarac,United States,33319.0,South,Florida
Colorado Springs,United States,80906.0,West,Colorado
Belleville,United States,7109.0,East,New Jersey
Taylor,United States,48180.0,Central,Michigan
Lakewood,United States,8701.0,East,New Jersey
Arlington,United States,22204.0,South,Virginia
Arvada,United States,80004.0,West,Colorado
Hackensack,United States,7601.0,East,New Jersey
Saint Petersburg,United States,33710.0,South,Florida
Philadelphia,United States,19143.0,East,Pennsylvania
Long Beach,United States,90805.0,West,California
Hesperia,United States,92345.0,West,California
Murfreesboro,United States,37130.0,South,Tennessee
Layton,United States,84041.0,West,Utah
Austin,United States,78745.0,Central,Texas
Lowell,United States,1852.0,East,Massachusetts
Columbus,United States,31907.0,South,Georgia
Manchester,United States,6040.0,East,Connecticut
Harlingen,United States,78550.0,Central,Texas
Tucson,United States,85705.0,West,Arizona
Quincy,United States,62301.0,Central,Illinois
Franklin,United States,2038.0,East,Massachusetts
Pembroke Pines,United States,33024.0,South,Florida
Des Moines,United States,98198.0,West,Washington
Peoria,United States,61604.0,Central,Illinois
Las Vegas,United States,89115.0,West,Nevada
Warwick,United States,2886.0,East,Rhode Island
Miami,United States,33180.0,South,Florida
Wilmington,United States,28403.0,South,North Carolina
Huntington Beach,United States,92646.0,West,California
Richmond,United States,40475.0,South,Kentucky
Louisville,United States,80027.0,West,Colorado
Lawrence,United States,1841.0,East,Massachusetts
Jackson,United States,39212.0,South,Mississippi
Canton,United States,48187.0,Central,Michigan
New Rochelle,United States,10801.0,East,New York
Gastonia,United States,28052.0,South,North Carolina
Jacksonville,United States,32216.0,South,Florida
Columbus,United States,47201.0,Central,Indiana
Auburn,United States,13021.0,East,New York
Norman,United States,73071.0,Central,Oklahoma
Concord,United States,94521.0,West,California
Park Ridge,United States,60068.0,Central,Illinois
Amarillo,United States,79109.0,Central,Texas
Lindenhurst,United States,11757.0,East,New York
Los Angeles,United States,90008.0,West,California
San Diego,United States,92024.0,West,California
Huntsville,United States,77340.0,Central,Texas
Rochester,United States,14609.0,East,New York
Fayetteville,United States,72701.0,South,Arkansas
Costa Mesa,United States,92627.0,West,California
Parker,United States,80134.0,West,Colorado
Atlanta,United States,30318.0,South,Georgia
Gladstone,United States,64118.0,Central,Missouri
Great Falls,United States,59405.0,West,Montana
Detroit,United States,48234.0,Central,Michigan
Lakeland,United States,33801.0,South,Florida
Montgomery,United States,36116.0,South,Alabama
Mesa,United States,85204.0,West,Arizona
Chicago,United States,60653.0,Central,Illinois
Green Bay,United States,54302.0,Central,Wisconsin
Springfield,United States,45503.0,East,Ohio
Anaheim,United States,92804.0,West,California
Marysville,United States,98270.0,West,Washington
Salem,United States,97301.0,West,Oregon
Laredo,United States,78041.0,Central,Texas
Dallas,United States,75217.0,Central,Texas
Grove City,United States,43123.0,East,Ohio
New York City,United States,10011.0,East,New York
Dearborn,United States,48126.0,Central,Michigan
Warner Robins,United States,31088.0,South,Georgia
Vallejo,United States,94591.0,West,California
Mission Viejo,United States,92691.0,West,California
Rochester Hills,United States,48307.0,Central,Michigan
Plainfield,United States,7060.0,East,New Jersey
Sierra Vista,United States,85635.0,West,Arizona
Vancouver,United States,98661.0,West,Washington
Aurora,United States,60505.0,Central,Illinois
Arlington,United States,76017.0,Central,Texas
Louisville,United States,40214.0,South,Kentucky
Dallas,United States,75081.0,Central,Texas
Cleveland,United States,44105.0,East,Ohio
Tyler,United States,75701.0,Central,Texas
Burlington,United States,27217.0,South,North Carolina
Waynesboro,United States,22980.0,South,Virginia
Chester,United States,19013.0,East,Pennsylvania
Cary,United States,27511.0,South,North Carolina
Palm Coast,United States,32137.0,South,Florida
Mount Vernon,United States,10550.0,East,New York
Detroit,United States,48205.0,Central,Michigan
Hialeah,United States,33012.0,South,Florida
Oceanside,United States,11572.0,East,New York
San Diego,United States,92105.0,West,California
Evanston,United States,60201.0,Central,Illinois
Trenton,United States,48183.0,Central,Michigan
Cottage Grove,United States,55016.0,Central,Minnesota
Bossier City,United States,71111.0,South,Louisiana
Des Moines,United States,50315.0,Central,Iowa
Lancaster,United States,93534.0,West,California
Richmond,United States,23223.0,South,Virginia
Asheville,United States,28806.0,South,North Carolina
Lake Elsinore,United States,92530.0,West,California
Omaha,United States,68104.0,Central,Nebraska
Edmonds,United States,98026.0,West,Washington
Santa Ana,United States,92704.0,West,California
Milwaukee,United States,53209.0,Central,Wisconsin
Florence,United States,41042.0,South,Kentucky
Lorain,United States,44052.0,East,Ohio
Linden,United States,7036.0,East,New Jersey
Salinas,United States,93905.0,West,California
New Brunswick,United States,8901.0,East,New Jersey
Lancaster,United States,17602.0,East,Pennsylvania
Concord,United States,3301.0,East,New Hampshire
Columbia,United States,21044.0,East,Maryland
Garland,United States,75043.0,Central,Texas
Norwich,United States,6360.0,East,Connecticut
Alexandria,United States,22304.0,South,Virginia
Toledo,United States,43615.0,East,Ohio
Farmington,United States,87401.0,West,New Mexico
Riverside,United States,92503.0,West,California
Torrance,United States,90503.0,West,California
Round Rock,United States,78664.0,Central,Texas
Oceanside,United States,92054.0,West,California
Boca Raton,United States,33433.0,South,Florida
Virginia Beach,United States,23464.0,South,Virginia
Murrieta,United States,92563.0,West,California
Jacksonville,United States,28540.0,South,North Carolina
Burlington,United States,52601.0,Central,Iowa
Olympia,United States,98502.0,West,Washington
Washington,United States,20016.0,East,District of Columbia
Jefferson City,United States,65109.0,Central,Missouri
Saint Peters,United States,63376.0,Central,Missouri
Rockford,United States,61107.0,Central,Illinois
Miami,United States,33142.0,South,Florida
Brownsville,United States,78521.0,Central,Texas
Yonkers,United States,10701.0,East,New York
Oakland,United States,94601.0,West,California
Monroe,United States,28110.0,South,North Carolina
Clinton,United States,20735.0,East,Maryland
Encinitas,United States,92024.0,West,California
Roswell,United States,30076.0,South,Georgia
Jonesboro,United States,72401.0,South,Arkansas
Richmond,United States,47374.0,Central,Indiana
Antioch,United States,94509.0,West,California
Homestead,United States,33030.0,South,Florida
La Porte,United States,46350.0,Central,Indiana
Lansing,United States,48911.0,Central,Michigan
Cuyahoga Falls,United States,44221.0,East,Ohio
Reno,United States,89502.0,West,Nevada
Harrisonburg,United States,22801.0,South,Virginia
Escondido,United States,92025.0,West,California
Royal Oak,United States,48073.0,Central,Michigan
Rockville,United States,20852.0,East,Maryland
Coral Springs,United States,33065.0,South,Florida
Buffalo,United States,14215.0,East,New York
Boynton Beach,United States,33437.0,South,Florida
Gulfport,United States,39503.0,South,Mississippi
Fresno,United States,93727.0,West,California
Greenville,United States,27834.0,South,North Carolina
Long Beach,United States,11561.0,East,New York
Florence,United States,35630.0,South,Alabama
Macon,United States,31204.0,South,Georgia
Cedar Rapids,United States,52402.0,Central,Iowa
Providence,United States,2908.0,East,Rhode Island
Pueblo,United States,81001.0,West,Colorado
Fairfield,United States,94533.0,West,California
Deltona,United States,32725.0,South,Florida
Murray,United States,42071.0,South,Kentucky
Middletown,United States,6457.0,East,Connecticut
Freeport,United States,11520.0,East,New York
Pico Rivera,United States,90660.0,West,California
Provo,United States,84604.0,West,Utah
Pleasant Grove,United States,84062.0,West,Utah
Smyrna,United States,30080.0,South,Georgia
Salem,United States,24153.0,South,Virginia
Parma,United States,44134.0,East,Ohio
Mobile,United States,36608.0,South,Alabama
New Bedford,United States,2740.0,East,Massachusetts
Irving,United States,75061.0,Central,Texas
Vineland,United States,8360.0,East,New Jersey
Glendale,United States,85301.0,West,Arizona
Niagara Falls,United States,14304.0,East,New York
Thomasville,United States,27360.0,South,North Carolina
Westminster,United States,92683.0,West,California
Jackson,United States,38301.0,South,Tennessee
Coppell,United States,75019.0,Central,Texas
Pomona,United States,91767.0,West,California
North Las Vegas,United States,89031.0,West,Nevada
Allentown,United States,18103.0,East,Pennsylvania
Newark,United States,19711.0,East,Delaware
Tempe,United States,85281.0,West,Arizona
