Row ID,Postal Code,Product ID,Customer ID,Order ID,Order Date,Sales,Ship Date
1,42420.0,FUR-BO-10001798,CG-12520,CA-2017-152156,08/11/2017,261.96,11/11/2017
2,42420.0,FUR-CH-10000454,CG-12520,CA-2017-152156,08/11/2017,731.94,11/11/2017
3,90036.0,OFF-LA-10000240,DV-13045,CA-2017-138688,12/06/2017,14.62,16/06/2017
4,33311.0,FUR-TA-10000577,SO-20335,US-2016-108966,11/10/2016,957.5775,18/10/2016
5,33311.0,OFF-ST-10000760,SO-20335,US-2016-108966,11/10/2016,22.368,18/10/2016
6,90032.0,FUR-FU-10001487,BH-11710,CA-2015-115812,09/06/2015,48.86,14/06/2015
7,90032.0,OFF-AR-10002833,BH-11710,CA-2015-115812,09/06/2015,7.28,14/06/2015
8,90032.0,TEC-PH-10002275,BH-11710,CA-2015-115812,09/06/2015,907.152,14/06/2015
9,90032.0,OFF-BI-10003910,BH-11710,CA-2015-115812,09/06/2015,18.504,14/06/2015
10,90032.0,OFF-AP-10002892,BH-11710,CA-2015-115812,09/06/2015,114.9,14/06/2015
11,90032.0,FUR-TA-10001539,BH-11710,CA-2015-115812,09/06/2015,1706.184,14/06/2015
12,90032.0,TEC-PH-10002033,BH-11710,CA-2015-115812,09/06/2015,911.424,14/06/2015
13,28027.0,OFF-PA-10002365,AA-10480,CA-2018-114412,15/04/2018,15.552,20/04/2018
14,98103.0,OFF-BI-10003656,IM-15070,CA-2017-161389,05/12/2017,407.976,10/12/2017
15,76106.0,OFF-AP-10002311,HP-14815,US-2016-118983,22/11/2016,68.81,26/11/2016
16,76106.0,OFF-BI-10000756,HP-14815,US-2016-118983,22/11/2016,2.544,26/11/2016
17,53711.0,OFF-ST-10004186,PK-19075,CA-2015-105893,11/11/2015,665.88,18/11/2015
18,84084.0,OFF-ST-10000107,AG-10270,CA-2015-167164,13/05/2015,55.5,15/05/2015
19,94109.0,OFF-AR-10003056,ZD-21925,CA-2015-143336,27/08/2015,8.56,01/09/2015
20,94109.0,TEC-PH-10001949,ZD-21925,CA-2015-143336,27/08/2015,213.48,01/09/2015
21,94109.0,OFF-BI-10002215,ZD-21925,CA-2015-143336,27/08/2015,22.72,01/09/2015
22,68025.0,OFF-AR-10000246,KB-16585,CA-2017-137330,09/12/2017,19.46,13/12/2017
23,68025.0,OFF-AP-10001492,KB-16585,CA-2017-137330,09/12/2017,60.34,13/12/2017
24,19140.0,FUR-CH-10002774,SF-20065,US-2018-156909,16/07/2018,71.372,18/07/2018
25,84057.0,FUR-TA-10000577,EB-13870,CA-2016-106320,25/09/2016,1044.63,30/09/2016
26,90049.0,OFF-BI-10001634,EH-13945,CA-2017-121755,16/01/2017,11.648,20/01/2017
27,90049.0,TEC-AC-10003027,EH-13945,CA-2017-121755,16/01/2017,90.57,20/01/2017
28,19140.0,FUR-BO-10004834,TB-21520,US-2016-150630,17/09/2016,3083.43,21/09/2016
29,19140.0,OFF-BI-10000474,TB-21520,US-2016-150630,17/09/2016,9.618,21/09/2016
30,19140.0,FUR-FU-10004848,TB-21520,US-2016-150630,17/09/2016,124.2,21/09/2016
31,19140.0,OFF-EN-10001509,TB-21520,US-2016-150630,17/09/2016,3.264,21/09/2016
32,19140.0,OFF-AR-10004042,TB-21520,US-2016-150630,17/09/2016,86.304,21/09/2016
33,19140.0,OFF-BI-10001525,TB-21520,US-2016-150630,17/09/2016,6.858,21/09/2016
34,19140.0,OFF-AR-10001683,TB-21520,US-2016-150630,17/09/2016,15.76,21/09/2016
35,77095.0,OFF-PA-10000249,MA-17560,CA-2018-107727,19/10/2018,29.472,23/10/2018
36,75080.0,TEC-PH-10004977,GH-14485,CA-2017-117590,08/12/2017,1097.544,10/12/2017
37,75080.0,FUR-FU-10003664,GH-14485,CA-2017-117590,08/12/2017,190.92,10/12/2017
38,77041.0,OFF-EN-10002986,SN-20710,CA-2016-117415,27/12/2016,113.328,31/12/2016
39,77041.0,FUR-BO-10002545,SN-20710,CA-2016-117415,27/12/2016,532.3992,31/12/2016
40,77041.0,FUR-CH-10004218,SN-20710,CA-2016-117415,27/12/2016,212.058,31/12/2016
41,77041.0,TEC-PH-10000486,SN-20710,CA-2016-117415,27/12/2016,371.168,31/12/2016
42,60540.0,TEC-PH-10004093,LC-16930,CA-2018-120999,10/09/2018,147.168,15/09/2018
43,90049.0,OFF-ST-10003479,RA-19885,CA-2017-101343,17/07/2017,77.88,22/07/2017
44,32935.0,OFF-ST-10003282,ES-14080,CA-2018-139619,19/09/2018,95.616,23/09/2018
45,55122.0,TEC-AC-10000171,ON-18715,CA-2017-118255,11/03/2017,45.98,13/03/2017
46,55122.0,OFF-BI-10003291,ON-18715,CA-2017-118255,11/03/2017,17.46,13/03/2017
47,48185.0,OFF-ST-10001713,PO-18865,CA-2015-146703,20/10/2015,211.96,25/10/2015
48,19901.0,TEC-AC-10002167,LH-16900,CA-2017-169194,20/06/2017,45.0,25/06/2017
49,19901.0,TEC-PH-10003988,LH-16900,CA-2017-169194,20/06/2017,21.8,25/06/2017
50,47150.0,OFF-BI-10004410,DP-13000,CA-2016-115742,18/04/2016,38.22,22/04/2016
51,47150.0,OFF-LA-10002762,DP-13000,CA-2016-115742,18/04/2016,75.18,22/04/2016
52,47150.0,FUR-FU-10001706,DP-13000,CA-2016-115742,18/04/2016,6.16,22/04/2016
53,47150.0,FUR-CH-10003061,DP-13000,CA-2016-115742,18/04/2016,89.99,22/04/2016
54,10024.0,OFF-FA-10000304,JM-15265,CA-2017-105816,11/12/2017,15.26,17/12/2017
55,10024.0,TEC-PH-10002447,JM-15265,CA-2017-105816,11/12/2017,1029.95,17/12/2017
56,12180.0,OFF-ST-10000604,TB-21055,CA-2017-111682,17/06/2017,208.56,18/06/2017
57,12180.0,OFF-PA-10001569,TB-21055,CA-2017-111682,17/06/2017,32.4,18/06/2017
58,12180.0,FUR-CH-10003968,TB-21055,CA-2017-111682,17/06/2017,319.41,18/06/2017
59,12180.0,OFF-PA-10000587,TB-21055,CA-2017-111682,17/06/2017,14.56,18/06/2017
60,12180.0,TEC-AC-10002167,TB-21055,CA-2017-111682,17/06/2017,30.0,18/06/2017
61,12180.0,OFF-BI-10001460,TB-21055,CA-2017-111682,17/06/2017,48.48,18/06/2017
62,12180.0,OFF-AR-10001868,TB-21055,CA-2017-111682,17/06/2017,1.68,18/06/2017
63,90004.0,TEC-AC-10004633,KM-16720,CA-2016-135545,24/11/2016,13.98,30/11/2016
64,90004.0,OFF-BI-10001078,KM-16720,CA-2016-135545,24/11/2016,25.824,30/11/2016
65,90004.0,OFF-PA-10003892,KM-16720,CA-2016-135545,24/11/2016,146.73,30/11/2016
66,90004.0,FUR-FU-10000397,KM-16720,CA-2016-135545,24/11/2016,79.76,30/11/2016
67,60610.0,FUR-CH-10001146,PS-18970,US-2016-164175,30/04/2016,213.115,05/05/2016
68,85234.0,OFF-AR-10002671,BS-11590,CA-2015-106376,05/12/2015,1113.024,10/12/2015
69,85234.0,TEC-PH-10002726,BS-11590,CA-2015-106376,05/12/2015,167.968,10/12/2015
70,22153.0,OFF-PA-10000482,KD-16270,CA-2017-119823,04/06/2017,75.88,06/06/2017
71,10009.0,OFF-BI-10004654,HM-14980,CA-2017-106075,18/09/2017,4.616,23/09/2017
